央视频道,#genre#
海南卫视,http://60.18.216.116:9527/rtp/232.0.0.71:8586		 
宁夏地区,#genre#
宁夏卫视,http://60.18.216.116:9527/rtp/232.0.0.34:8644		 
青海地区,#genre#
青海卫视,http://60.18.216.116:9527/rtp/232.0.0.101:8588		 
新疆地区,#genre#
兵团卫视,http://60.18.216.116:9527/rtp/232.0.0.67:8640		 
黑龙江地区,#genre#
黑龙江卫视,http://60.18.216.116:9527/rtp/232.0.0.85:8576		 
内蒙古地区,#genre#
内蒙古卫视,http://60.18.216.116:9527/rtp/232.0.0.111:8718		 
未知分组,#genre#
辽宁,http://60.18.216.116:9527/rtp/232.0.0.144:9108
NBA赛事10,http://60.18.216.116:9527/rtp/232.0.0.222:9266		 
中国教育,http://60.18.216.116:9527/rtp/232.0.0.192:9202		 
四川,http://60.18.216.116:9527/rtp/232.0.0.208:9234		 
重庆,http://60.18.216.116:9527/rtp/232.0.0.209:9236		 
海南,http://60.18.216.116:9527/rtp/232.0.0.195:9208		 
吉林,http://60.18.216.116:9527/rtp/232.0.0.170:9344		 
贵州,http://60.18.216.116:9527/rtp/232.0.0.171:9346		 
CGTN英文记录,http://60.18.216.116:9527/rtp/232.0.0.202:9222		 
上海全纪实频道,http://60.18.216.116:9527/rtp/232.0.0.126:9298		 
极速汽车,http://60.18.216.116:9527/rtp/232.0.0.127:9300		 
NBA赛事2,http://60.18.216.116:9527/rtp/232.0.0.214:9246		 
NBA赛事6,http://60.18.216.116:9527/rtp/232.0.0.218:9254		 
环球奇观,http://60.18.216.116:9527/rtp/232.0.0.62:8814		 
NBA赛事5,http://60.18.216.116:9527/rtp/232.0.0.217:9252		 
NBA赛事4,http://60.18.216.116:9527/rtp/232.0.0.216:9250		 
NBA赛事1,http://60.18.216.116:9527/rtp/232.0.0.213:9244		 
NBA赛事8,http://60.18.216.116:9527/rtp/232.0.0.220:9258	 
NBA赛事3,http://60.18.216.116:9527/rtp/232.0.0.215:9248		 
NBA赛事9,http://60.18.216.116:9527/rtp/232.0.0.221:9264		 
NBA赛事7,http://60.18.216.116:9527/rtp/232.0.0.219:9256		 
ITV足球,http://60.18.216.116:9527/rtp/232.0.0.91:8746		 
ITV5,http://60.18.216.116:9527/rtp/232.0.0.119:8872		 
ITV3,http://60.18.216.116:9527/rtp/232.0.0.118:8870	 
地理,http://60.18.216.116:9527/rtp/232.0.0.105:8826		 
汽摩,http://60.18.216.116:9527/rtp/232.0.0.56:8692		 
靓妆,http://60.18.216.116:9527/rtp/232.0.0.46:8616		 
北京,http://60.18.216.116:9527/rtp/232.0.0.117:8860
纪实,http://60.18.216.116:9527/rtp/232.0.0.162:9124		 
东方,http://60.18.216.116:9527/rtp/232.0.0.128:9100
江苏,http://60.18.216.116:9527/rtp/232.0.0.116:8862
浙江,http://60.18.216.116:9527/rtp/232.0.0.129:9102		 
湖南,http://60.18.216.116:9527/rtp/232.0.0.115:8864		 
湖北,http://60.18.216.116:9527/rtp/232.0.0.130:9104		 
龙江,http://60.18.216.116:9527/rtp/232.0.0.95:8866		 
深圳,http://60.18.216.116:9527/rtp/232.0.0.110:8868		 
天津,http://60.18.216.116:9527/rtp/232.0.0.131:9106		 
广东,http://60.18.216.116:9527/rtp/232.0.0.160:9120		 
山东,http://60.18.216.116:9527/rtp/232.0.0.161:9122		 
安徽,http://60.18.216.116:9527/rtp/232.0.0.138:9156		 
国学,http://60.18.216.116:9527/rtp/232.0.0.100:8684		 
党员教育,http://60.18.216.116:9527/rtp/232.0.0.224:9270		 
辽宁宜佳购物,http://60.18.216.116:9527/rtp/232.0.0.21:8838	 
移动电视,http://60.18.216.116:9527/rtp/232.0.0.205:9228		 
中视购物,http://60.18.216.116:9527/rtp/232.0.0.231:9358		 
西藏卫视藏语,http://60.18.216.116:9527/rtp/232.0.0.235:9366		 
安多卫视藏语,http://60.18.216.116:9527/rtp/232.0.0.236:9368		 
康巴卫视藏语,http://60.18.216.116:9527/rtp/232.0.0.237:9370		 
BTV冬奥纪实,http://60.18.216.116:9527/rtp/232.0.0.185:9188		 
电子体育,http://60.18.216.116:9527/rtp/232.0.0.24:8604		 
游戏竞技,http://60.18.216.116:9527/rtp/232.0.0.112:8606	 
网络棋牌,http://60.18.216.116:9527/rtp/232.0.0.64:8608		 
精选,http://60.18.216.116:9527/rtp/232.0.0.102:8888
